X,Y,OBJECTID,ID_CICLOPARQUEDERO,CIV,CLASECICLOP,NOMBRECICLOP,SECTORCICLOP,TIPOUSUARIOCICLOP,LOCALIDAD,DIRECCIONCICLOP,HORARIOCICLOP,TIPOLOGIACICLOP,CUPOCICLOP,SELLOCICLOP,ANOCICLOP,GLOBALID
-74.049452,4.67688599899998,160,1159,2000320,F,City Parking QBO,2,1,2,CL 93A 13 24,L-S 06:00 - 23:00  D 09:00 - 21:00,8,12,2,2019,{7E7A6FC2-DF33-412B-8A3E-70BF0758789A}
-74.056029,4.66404899999998,161,1160,2000864,F,City Parking Torre 78,2,1,2,KR 12A 78 40,L-D 6:00 - 22:00,8,60,2,2019,{9A05755D-AAA9-4BC2-86B6-7F03F3B457A6}
-74.068727,4.63356399999998,162,1161,13001476,F,Universidad Católica,2,2,13,DG 46 TV 16 BIS,L-V: 6:00 - 22:00,8,90,2,2019,{19199425-2E4A-4897-8547-7B154DB57FFF}
-74.0556,4.65830599999998,163,1162,2001046,F,City Parking Crepes and Waffles,2,1,2,CL 74 9 21,L-V 06:00 - 20:00,8,12,2,2019,{C0CA91E8-62AF-4EC5-813A-4C8477BEFC96}
-74.051602,4.66658699999999,164,1163,2000775,F,City Parking Calle 84,2,1,2,KR 11 84 50,L-M 05:30 - 23:00  J-D 24 h,8,12,2,2019,{1A56B9D9-1A8B-4F2F-B8EE-0FC3179AC6E1}
-74.092256346,4.63802291799999,165,1164,13001289,F,RTVC,1,1,13,KR 45 26 33,L-D 24h,8,100,1,2022,{1216184A-0B32-4754-AE4F-75DBE0218280}
-74.098209305,4.68722057700001,166,1165,10007623,F,Alcaldía Local de Engativá,1,1,10,CL 71 73A 44,L-V 7:30 - 16:30,2,47,1,2022,{14F0EF4D-60C8-4186-99C7-BC799F6CA80A}
-74.143286596,4.674354397,167,1166,9002333,F,Alcaldía Local de Fontibón,1,1,9,KR 99 19 43,L-V 7:30 - 16:30,2,24,1,2022,{439D8026-17AA-4C05-8368-8CEDA919AFEC}
-74.084186197,4.74061562000003,168,1167,11004852,F,Alcaldía Local de Suba,1,1,11,KR 91 145A 32,L-V 7:30 - 16:30,2,27,1,2022,{471FC64F-3E7D-4B50-963B-47712FBC1BA2}
-74.049156151,4.70480968599998,169,1168,1004455,F,Novo Nordisk Colombia,2,2,1,CL 125 19 24,L-V 7:00 - 17:00,8,119,1,2022,{9CFC8FC0-07FE-416C-9FAB-149B05E23D54}
-74.130163463,4.68963084500001,170,1169,9004084,F,City Parking Buro 26,2,1,9,AC 26 102 20,L-D 24h,8,41,1,2021,{871EB26A-5F62-44C4-9AD6-2134AC018A47}
-74.13582539,4.692335136,171,1170,9004096,F,City Parking Cargo city,2,1,9,AC 26 106 39,L-D 24h,8,160,1,2021,{0B3EB07D-AF9B-45D6-93B4-950AA6A67753}
-74.127308602,4.68763705800001,172,1171,9000833,F,City Parking Hotel Marriot,2,1,10,CL 26 #96j- 90,L-D 24h,8,140,1,2021,{F2323360-38DF-4C79-B670-0C1B6B566B30}
-74.058695263,4.683050772,173,1172,12000342,F,City Parking Castellana,2,1,12,KR 45a 94 66,L-V 5:30 -23:00 S 5:30 -22:00 D-F 7:00 - 20:00,8,24,1,2022,{E6093EBD-BF08-47D4-9B61-41E0341A54F3}
-74.04253235,4.74844541300001,174,1173,1001358,F,City Parking Javesalud Toberin,2,1,1,KR 19b 166 96,L-V 5:30 - 22:00 S 5:30 - 16:00,8,24,1,2022,{DD251515-BC7A-4CAC-93E3-A40B01F6EF27}
-74.054110174,4.67031548,175,1174,2000630,F,City Parking Carrera 14,2,1,2,KR 14 85 85,L-Mi 6:00 - 22:00 J-S 6:00 - 15:00 D-F 8:00 - 16:*,8,26,1,2022,{FA08B8E8-E6D8-47CA-BA1D-D667B637BF26}
-74.054263366,4.65300272000002,176,1175,2001211,F,City Parking Rosales,2,1,2,KR 5a 70a-74,L-Mi 6:00 - 22:00 J-S 6:00 - 23:00 D-F 8:00 - 20:*,8,24,1,2022,{0097DDC5-64B4-4327-99F3-AF1931E30D76}
-74.098125357,4.642188836,177,1176,13001023,F,Centro empresarial Sarmiento Angulo,2,2,13,AV CL 26 54 41,L-V 8:00 - 17:30,8,401,1,2022,{2E0BA442-AD49-41FE-BB1B-170861BFE4D6}
-74.072248663,4.61543659099999,178,1177,3002394,F,Torres Atrio,2,1,3,Av Caracas x Cll 26,L-D 10:00 -17:00,8,343,1,2022,{3B645931-53E1-4666-9C71-7242C81A72D5}
-74.062426822,4.70933127299998,179,1178,11014195,F,Centro empresarial Colpatria,2,2,11,CL 127A 54A 45,L-V 8:00 - 18:00,8,392,1,2022,{5D9187DB-9162-47B4-84F0-121B2280D99F}
-74.057723388,4.66395041700002,180,1179,2000866,F,City parking Edificio Ecotek 14,2,1,2,KR 14 77A 21,L-V 8:00 - 18:00,8,128,1,2022,{9FFEBDFD-9A0B-466E-9850-318154947EB6}
-74.067541517,4.60573831599999,181,1180,3000592,F,Universidad Central,2,2,3,Cll 22 3 79,L-V 5:30 - 22:00  S 5:30 - 19:00,8,24,1,2022,{0C411194-26FF-497B-B772-527832E0E6F6}
-74.06538196,4.638873144,182,1181,2001767,F,City Parking SmartFit Chapinero,2,1,2,KR 13 51 57,L-J 5:00 - 22:00  V 5:00 - 21:00 S 7:00 -20:00  D*,8,26,1,2022,{E02CAD99-A602-4225-904D-641FE35AD7E6}
